Categoría,Pregunta,Respuesta,Opciones
Historia,"¿En qué año se descubrió América?","1492","1492|1500|1453|1490"
Ciencia,"¿Cuál es el planeta más grande del sistema solar?","Júpiter","Marte|Saturno|Júpiter|Urano"
Geografía,"¿Cuál es el río más largo del mundo?","Amazonas","Nilo|Yangtsé|Amazonas|Mississippi"
Arte,"¿Quién pintó la Mona Lisa?","Leonardo da Vinci","Miguel Ángel|Leonardo da Vinci|Van Gogh|Picasso"
Deportes,"¿En qué deporte se utiliza una red y una raqueta?","Tenis","Tenis|Fútbol|Voleibol|Golf"
Cultura,"¿Qué país es conocido por el sushi?","Japón","Japón|China|Corea del Sur|Vietnam"
Ciencia,"¿Cómo se llama la tabla de elementos químicos?","Tabla Periódica","Tabla Periódica|Tabla de Pesos|Tabla de Elementos|Tabla de Mendeleev"
Literatura,"¿Quién escribió 'Cien años de soledad'?","Gabriel García Márquez","Pablo Neruda|Mario Vargas Llosa|Gabriel García Márquez|Jorge Luis Borges"
Geografía,"¿Cuál es la capital de Canadá?","Ottawa","Toronto|Ottawa|Montreal|Vancouver"
Historia,"¿Quién fue el primer presidente de los Estados Unidos?","George Washington","Thomas Jefferson|George Washington|John Adams|Abraham Lincoln"
